start_time,end_time,duration
"10月 02, 2022 01:46","10月 02, 2022 10:45",8h 58m 47s
"10月 03, 2022 02:30","10月 03, 2022 09:43",7h 12m 38s
"10月 04, 2022 03:01","10月 04, 2022 10:47",7h 45m 53s
"10月 05, 2022 02:57","10月 05, 2022 11:15",8h 17m 55s
"10月 06, 2022 03:59","10月 06, 2022 11:56",7h 56m 41s
"10月 07, 2022 01:54","10月 07, 2022 09:30",7h 36m 22s
"10月 08, 2022 01:38","10月 08, 2022 11:06",9h 28m 3s
"10月 09, 2022 02:50","10月 09, 2022 12:30",9h 40m 32s
"10月 10, 2022 02:26","10月 10, 2022 13:15",10h 49m 4s
"10月 11, 2022 02:33","10月 11, 2022 09:54",7h 21m 18s
"10月 11, 2022 11:55","10月 11, 2022 14:21",2h 26m 17s
"10月 12, 2022 03:54","10月 12, 2022 13:29",9h 34m 52s
"10月 13, 2022 06:40","10月 13, 2022 12:20",5h 39m 42s
"10月 14, 2022 03:29","10月 14, 2022 14:25",10h 56m 31s
"10月 15, 2022 05:06","10月 15, 2022 12:25",7h 19m 4s
"10月 16, 2022 02:15","10月 16, 2022 12:08",9h 53m 21s
"10月 16, 2022 23:43","10月 17, 2022 08:18",8h 35m 36s
"10月 18, 2022 01:57","10月 18, 2022 11:39",9h 42m 29s
"10月 19, 2022 06:51","10月 19, 2022 12:15",5h 24m 33s
"10月 19, 2022 12:57","10月 19, 2022 15:33",2h 36m 0s
"10月 20, 2022 04:13","10月 20, 2022 13:38",9h 24m 21s
"10月 21, 2022 03:39","10月 21, 2022 12:51",9h 12m 20s
"10月 22, 2022 02:05","10月 22, 2022 10:15",8h 10m 20s
"10月 23, 2022 04:29","10月 23, 2022 12:14",7h 44m 53s
"10月 24, 2022 02:50","10月 24, 2022 12:26",9h 35m 17s
"10月 25, 2022 01:32","10月 25, 2022 11:47",10h 15m 16s
"10月 26, 2022 06:35","10月 26, 2022 12:56",6h 20m 21s
"10月 27, 2022 00:28","10月 27, 2022 01:20",52m 13s
"10月 27, 2022 01:33","10月 27, 2022 11:49",10h 16m 47s
"10月 28, 2022 02:00","10月 28, 2022 12:07",10h 7m 34s
"10月 29, 2022 00:49","10月 29, 2022 01:44",55m 44s
"10月 29, 2022 04:11","10月 29, 2022 13:27",9h 16m 3s
"10月 30, 2022 01:50","10月 30, 2022 10:40",8h 50m 2s
"10月 31, 2022 05:49","10月 31, 2022 14:11",8h 22m 0s
"11月 01, 2022 04:50","11月 01, 2022 14:04",9h 13m 56s
"11月 02, 2022 03:39","11月 02, 2022 12:44",9h 5m 3s
"11月 03, 2022 02:57","11月 03, 2022 12:50",9h 52m 21s
"11月 03, 2022 22:00","11月 04, 2022 00:50",2h 50m 1s
"11月 04, 2022 05:54","11月 04, 2022 12:52",6h 57m 14s
"11月 05, 2022 03:22","11月 05, 2022 12:00",8h 38m 6s
"11月 06, 2022 05:20","11月 06, 2022 13:14",7h 53m 37s
"11月 07, 2022 03:43","11月 07, 2022 12:58",9h 15m 49s
"11月 08, 2022 03:00","11月 08, 2022 13:00",10h 0m 21s
